Year,Value
200304,0.85
200305,0.95
200306,0.70
200307,0.75
200308,0.88
200309,0.87
200310,1.14
200311,0.69
200312,1.46
200401,0.94
200402,1.30
200403,1.30
200404,0.86
200405,0.47
200406,0.57
200407,0.40
200408,0.49
200409,0.66
200410,0.79
200411,1.40
200412,0.62
200501,1.08
200502,0.74
200503,1.33
200504,1.31
200505,0.98
200506,1.03
200507,0.95
200508,0.80
200509,1.10
200510,1.21
200511,1.45
200512,1.13
200601,0.68
200602,1.31
200603,1.17
200604,0.74
200605,0.67
200606,1.05
200607,0.89
200608,0.93
200609,0.87
200610,1.06
200611,0.88
200612,1.48
200701,1.96
200702,1.14
200703,1.24
200704,1.47
200705,1.11
200706,0.76
200707,0.82
200708,0.90
200709,1.02
200710,1.02
200711,1.10
200712,0.99
200801,0.21
200802,0.60
200803,1.86
200804,0.82
200805,0.83
200806,0.79
200807,0.86
200808,0.74
200809,0.69
200810,1.22
200811,1.31
200812,0.81
200901,1.05
200902,1.03
200903,1.00
200904,1.07
200905,0.75
200906,0.78
200907,0.74
200908,0.92
200909,1.15
200910,0.84
200911,1.00
200912,0.58
201001,1.01
201002,1.17
201003,1.54
201004,1.42
201005,1.20
201006,1.16
201007,1.13
201008,1.04
201009,0.89
201010,1.09
201011,1.55
201012,0.58
201101,0.59
201102,0.58
201103,0.99
201104,1.20
201105,0.81
201106,1.02
201107,1.03
201108,1.04
201109,0.97
201110,1.13
201111,0.69
201112,0.98
201201,0.62
201202,0.51
201203,0.88
201204,1.46
201205,1.32
201206,1.22
201207,1.03
201208,0.96
201209,1.10
201210,1.03
201211,1.13
201212,0.30
201301,1.01
201302,1.19
201303,1.09
201304,0.77
201305,1.12
201306,1.08
201307,0.80
201308,0.85
201309,0.94
201310,0.93
201311,1.47
201312,1.08
201401,1.13
201402,0.33
201403,1.35
201404,1.34
201405,1.17
201406,0.99
201407,0.78
201408,1.04
201409,0.96
201410,1.00
201411,0.71
201412,1.33
201501,1.45
201502,1.67
201503,1.68
201504,1.16
201505,1.31
201506,1.29
201507,1.05
201508,1.20
201509,1.23
201510,1.45
201511,1.37
201512,1.96
201601,1.65
201602,2.41
201603,2.50
201604,1.94
201605,1.30
201606,1.22
201607,1.17
201608,1.38
201609,1.37
201610,0.87
201611,1.08
201612,1.30
201701,1.62
201702,1.76
201703,1.95
201704,1.40
201705,1.27
201706,1.17
201707,1.20
201708,1.25
201709,1.25
201710,1.10
201711,1.16
201712,1.54
201801,1.14
201802,1.17
201803,1.60
201804,1.33
201805,1.23
201806,1.11
201807,1.18
201808,1.03
201809,1.07
201810,1.30
201811,0.88
201812,1.22
201901,1.62
201902,1.15
201903,1.98
201904,1.56
201905,1.15
201906,1.31
201907,1.17
201908,1.11
201909,1.36
201910,1.40
201911,1.27
201912,1.73
202001,2.05
202002,2.24
202003,2.12
202004,1.61
202005,1.37
202006,1.28
202007,1.22
202008,1.25
202009,1.45
202010,1.19
202011,1.70
202012,1.26
202101,1.32
202102,0.89
202103,1.59
202104,1.24
202105,1.26
202106,1.42
202107,1.38
202108,1.33
202109,1.35
202110,1.36
202111,1.47
202112,1.36
202201,1.46
202202,1.25
202203,1.62
202204,1.44
202205,1.11
202206,1.32
202207,1.29
202208,1.24
202209,1.22
